Cueanexo,Nombre,id_departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20010000,CENTRO EDUCATIVO SAN FRANCISCO JAVIER,2000,,1.0,1.0,1.0
20010200,INSTITUTO CANTO A LA VIDA,2000,,,,1.0
20010201,INSTITUTO CANTO A LA VIDA,2000,1.0,1.0,1.0,
20010300,HOMERO MANZI,2000,,,1.0,
20010400,INSTITUTO MARIA AUXILIADORA,2000,,1.0,1.0,
20010500,INST. TOBAR GARCIA DINAD,2000,,,,
20010600,CENS Nº 23 DE 08,2000,,,,
20010601,CENS Nº 23 DE 19,2000,,,,
20010700,CENS Nº 06 DE 06,2000,,,,
20010800,CENS Nº 14 DE 21,2000,,,,
20011000,REPUBLICA FRANCESA,2000,,,1.0,
20011100,CARLOS MOREL,2000,,,1.0,
20011200,REPUBLICA DE COREA,2000,,,1.0,
20011300,REPUBLICA ISLAMICA DE PAKISTAN,2000,,,1.0,
20011400,INSTITUTO MONSEÑOR SABELLI,2000,1.0,1.0,1.0,
20011500,ESCUELA CRISTIANA DE LA PUERTA ABIERTA,2000,1.0,1.0,1.0,1.0
20011600,NUEVOS AIRES,2000,,1.0,1.0,1.0
20011700,JII N° 01 DE 11,2000,,1.0,,
20011800,INSTITUTO COMUNIDAD FILII DEI,2000,1.0,1.0,1.0,1.0
20011900,CENS Nº 51 DE 04,2000,,,,
20011901,CENS Nº 51 DE 19,2000,,,,
20012000,GENERAL JOSE SAN MARTIN,2000,,,1.0,
20012100,FRENCH Y BERUTI,2000,,,1.0,
20012300,COLEGIO DE LOS NIÑOS,2000,,,1.0,1.0
20012301,COLEGIO DE LOS NIÑOS,2000,1.0,1.0,,1.0
20012400,INSTITUTO JORGE NEWBERY,2000,,,,
20012500,AMAPOLA,2000,,,1.0,
20012600,INSTITUTO ESPAÑOL VIRGEN DEL PILAR,2000,1.0,1.0,1.0,1.0
20012700,INSTITUTO SANTA MARIA DE LUJAN,2000,1.0,1.0,1.0,1.0
20012800,PROVINCIA DE CORDOBA,2000,,,1.0,
20012900,ESCUELA TECNICA PHILIPS ARGENTINA,2000,,,,1.0
20013000,DR. ENRIQUE M. MOSCA,2000,,,1.0,
20013500,CARLOS SAAVEDRA LAMAS,2000,,,1.0,
20013600,MARTIN DEL BARCO CENTENERA,2000,,,1.0,
20013800,INSTITUTO SANTA CLARA DE ASIS,2000,,1.0,1.0,1.0
20013900,JUAN B. PEÑA,2000,,,1.0,
20014000,LEOPOLDO MARECHAL,2000,,,1.0,
20014100,FLORIAN OLIVER,2000,,,1.0,
