Provincia,Departamento,Jardines,Poblacion Jardines,Primarias,Poblacion Primaria,Secundarias,Poblacion Secundaria
Santa Fe,IRIONDO,38,5742,50,73636,26,73636
Santa Fe,SAN JUSTO,46,3766,46,46486,17,46486
Santa Fe,CONSTITUCION,38,6793,45,93000,32,93000
Santa Fe,CASEROS,32,5966,37,86261,30,86261
Santa Fe,SAN JAVIER,33,3076,36,33180,14,33180
Santa Fe,BELGRANO,18,3597,26,48544,15,48544
Santa Fe,GARAY,19,2349,22,24853,8,24853
Santiago del Estero,CAPITAL,140,26352,113,328824,97,328824
Santiago del Estero,BANDA,121,16118,105,170401,64,170401
Santiago del Estero,COPO,34,3908,77,35653,20,35653
Santiago del Estero,PELLEGRINI,52,2632,69,26193,35,26193
Santiago del Estero,MORENO,46,4608,69,40352,22,40352
Santiago del Estero,RIO HONDO,67,6377,68,66637,43,66637
Santiago del Estero,FIGUEROA,52,2127,68,20246,26,20246
Santiago del Estero,ALBERDI,37,2298,59,20104,18,20104
Santiago del Estero,GENERAL TABOADA,42,4772,53,46304,10,46304
Santiago del Estero,AVELLANEDA,30,2758,52,25462,26,25462
Santiago del Estero,JUAN F IBARRA,31,2152,47,20567,15,20567
Santiago del Estero,CHOYA,40,3746,47,43692,30,43692
Santiago del Estero,LORETO,52,2243,45,24047,29,24047
Santiago del Estero,OJO DE AGUA,29,1392,44,15008,10,15008
Santiago del Estero,QUEBRACHOS,27,1286,43,12336,12,12336
Santiago del Estero,SALAVINA,29,1294,39,12775,19,12775
Santiago del Estero,ROBLES,46,5435,39,53879,24,53879
Santiago del Estero,JIMENEZ,27,1847,38,18622,31,18622
Santiago del Estero,SAN MARTIN,27,1183,36,11183,19,11183
Santiago del Estero,ATAMISQUI,26,1520,26,14894,14,14894
Santiago del Estero,GUASAYAN,18,900,23,9251,12,9251
Santiago del Estero,RIVADAVIA,12,487,16,5314,3,5314
Santiago del Estero,SARMIENTO,9,533,16,5034,8,5034
Santiago del Estero,SILIPICA,14,861,16,9766,14,9766
Santiago del Estero,AGUIRRE,10,804,13,8959,6,8959
Santiago del Estero,BELGRANO,7,1033,12,10809,5,10809
Santiago del Estero,MITRE,5,112,9,1440,4,1440
Tierra del Fuego,RIO GRANDE,26,,30,,25,
Tierra del Fuego,USHUAIA,26,,29,,26,
Tierra del Fuego,TOLHUIN,3,581,3,6027,2,6027
Tierra del Fuego,ANTARTIDA ARGENTINA,1,,1,,0,
Tucumán,CAPITAL,186,44089,138,587289,144,587289
Tucumán,CRUZ ALTA,89,21071,76,227688,52,227688
Tucumán,LEALES,71,5678,71,66352,43,66352
Tucumán,BURRUYACU,56,4330,57,45459,39,45459
Tucumán,SIMOCA,52,3132,52,36946,28,36946
Tucumán,TAFI VIEJO,58,15052,48,172877,39,172877
Tucumán,CHICLIGASTA,44,7651,41,92308,31,92308
Tucumán,MONTEROS,41,6523,38,77469,24,77469
Tucumán,YERBA BUENA,34,8420,31,102589,26,102589
Tucumán,LULES,35,8542,31,93464,23,93464
Tucumán,RIO CHICO,32,5525,30,64927,26,64927
Tucumán,GRANEROS,30,1434,30,15539,18,15539
Tucumán,TRANCAS,25,2185,25,23438,19,23438
Tucumán,TAFI DEL VALLE,22,1828,24,22382,11,22382
Tucumán,FAMAILLA,24,4239,23,42669,15,42669
Tucumán,JUAN B ALBERDI,20,2908,19,34745,13,34745
Tucumán,LA COCHA,17,1894,18,21196,13,21196
