Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
La Pampa,HUCAL,15,4,21829
Chubut,LANGUIÑEO,15,1,8020
La Rioja,VINCHINA,15,0,7534
Salta,LA VIÑA,15,0,24647
La Pampa,CATRILO,14,3,22862
Jujuy,SAN ANTONIO,14,1,18750
Buenos Aires,SALLIQUELO,14,0,26223
Chubut,GASTRE,14,0,3338
Chubut,TEHUELCHES,13,2,16541
Neuquén,COLLON CURA,13,1,13500
Neuquén,PICUN LEUFU,13,1,14185
Santa Cruz,LAGO BUENOS AIRES,13,1,34962
La Pampa,TRENEL,12,2,15836
San Juan,9 DE JULIO,12,1,34400
Chubut,TELSEN,11,2,4506
Buenos Aires,MONTE HERMOSO,11,1,23608
Buenos Aires,TORDILLO,10,1,7055
Catamarca,ANTOFAGASTA DE LA SIERRA,10,0,5051
Corrientes,BERON DE ASTRADA,10,0,7835
Santa Cruz,RIO CHICO,9,2,17286
Santa Cruz,MAGALLANES,9,0,35421
Chubut,PASO DE INDIOS,8,0,5308
Tierra del Fuego,TOLHUIN,8,0,16587
La Pampa,CHICAL CO,7,0,4040
San Juan,ZONDA,6,1,18412
La Pampa,CURACO,6,0,3094
La Pampa,CALEU CALEU,5,1,7225
San Juan,ULLUM,5,1,17794
Chubut,FLORENTINO AMEGHINO,5,0,4968
Chubut,MARTIRES,5,0,2104
La Pampa,LIMAY MAHUIDA,5,0,1169
La Rioja,GENERAL LAMADRID,5,0,5277
La Pampa,CHALILEO,4,0,7980
La Pampa,LIHUEL CALEL,3,1,1188
La Rioja,SANAGASTA,3,1,8351
Tierra del Fuego,ANTARTIDA ARGENTINA,2,0,
